NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,NPPES Provider State,Specialty Description,Total Claim Count,Distinct Opioid Count,Opioid Claim Count,Percent Opioid Claims
1043265085,BAKER,JULIE,065191369,CT,Nurse Practitioner,447,1,20,4.47%
1710923073,BAKER,WILLIAM,061062527,CT,Hematology/Oncology,943,3,67,7.1%
1528162146,BAKER,LISA,061025037,CT,Nurse Practitioner,131,0,0,0%
1508855685,BAKER,HOWARD,060522016,CT,Internal Medicine,71,0,0,0%
1447224241,BAKER,KATHRYN,066113463,CT,Pediatric Medicine,346,1,22,6.36%
1548477433,BAKER,JACQUELINE,064503293,CT,Nurse Practitioner,184,0,0,0%
1134415060,BAKES,DEBBIE,069023628,CT,Student in an Organized Health Care Education/Training Program,17,0,0,0%
1508801309,BAKHRU,MADHURI,068105954,CT,Obstetrics/Gynecology,61,0,0,0%
1558541730,BAKHTIARI,NAHAL,064602703,CT,Dentist,19,0,0,0%
1629261193,BAKKALI,LEEN,065191106,CT,Geriatric Medicine,10412,6,289,2.78%
1275895369,BAKRADZE,EKATERINA,061028000,CT,Student in an Organized Health Care Education/Training Program,185,0,0,0%
1710962428,BAKSH,TERRY,063602309,CT,Internal Medicine,4277,0,0,0%
1134370075,BAKSH,SALMA,068106099,CT,Internal Medicine,69,0,0,0%
1568628865,BALACH,TESSA,060304038,CT,Orthopedic Surgery,196,4,88,44.9%
1477638963,BALACHANDRAN,SUNDARAMURTHY,06260,CT,Family Practice,2083,4,97,4.66%
1215225552,BALANCHIVADZE,NINO,065103220,CT,Student in an Organized Health Care Education/Training Program,685,2,35,5.11%
1720084320,BALAS,HORATIU,065163774,CT,Internal Medicine,18006,9,439,2.44%
1477867539,BALASINGHAM,ANNAMUTHU,066102805,CT,Student in an Organized Health Care Education/Training Program,367,0,0,0%
1598996944,BALASINGHAM,SHIVASHANKER,066102805,CT,Internal Medicine,26,0,0,0%
1396034211,BALASTA,MARGUERITE,065103206,CT,Internal Medicine,360,0,0,0%
1831350446,BALASUBRAMANIAM,BALAMURALI,060300001,CT,Internal Medicine,65,0,0,0%
1467555714,BALASURIYAR,SARAVANA,06111,CT,Psychiatry,38,0,0,0%
1588978795,BALAZADEH,SETAREH,063602740,CT,Internal Medicine,123,0,0,0%
1982610192,BALAZS,DENES,06032,CT,Internal Medicine,3915,1,33,0.84%
1841366820,BALBOA,GENE,068204132,CT,Internal Medicine,1571,0,0,0%
1487661229,BALCEZAK,THOMAS,065048900,CT,Internal Medicine,115,0,0,0%
1861633893,BALDEO,SASHANI,065114405,CT,Emergency Medicine,41,0,0,0%
1417958364,BALDINO,MARY ELLEN,067021418,CT,Nurse Practitioner,3961,2,51,1.29%
1609092105,BALDRICK,KELLI,068106047,CT,Psychiatry & Neurology,36,0,0,0%
1134240377,BALDWIN,JENNIFER,060306220,CT,Internal Medicine,108,0,0,0%
1104895382,BALDWIN,MICHAEL,064261154,CT,Family Practice,3566,4,72,2.02%
1578884409,BALDWIN,PAUL,060301921,CT,Student in an Organized Health Care Education/Training Program,23,0,0,0%
1346246444,BALESWAREN,ANANDHI,063406702,CT,Internal Medicine,8558,10,437,5.11%
1619178258,BALF,DRAGOS,06511,CT,Cardiology,1445,0,0,0%
1124024724,BALF-SORAN,GABRIELA,065115410,CT,Psychiatry,773,0,0,0%
1013959782,BALFOUR,SARAH,064102549,CT,Family Practice,501,0,0,0%
1942312202,BALGA,THOMAS,060105161,CT,Physician Assistant,97,1,25,25.77%
1467731091,BALICA,ELENA,065103220,CT,Hospitalist,752,1,17,2.26%
1023095916,BALKUNAS,MICHAEL,060522016,CT,Psychiatry,340,0,0,0%
1184727752,BALLA,ROBERT,06107,CT,Dentist,152,1,34,22.37%
1396761433,BALLARD,EILEEN,064731704,CT,Emergency Medicine,574,1,17,2.96%
1386810802,BALLARINO,GUILLERMO,068106099,CT,Pulmonary Disease,833,0,0,0%
1750301925,BALLEW,JENNIFER,06511,CT,Psychiatry,235,0,0,0%
1851446157,BALLOCH,STEVEN,060332176,CT,Dentist,28,0,0,0%
1386808202,BALLOCH,RACHEL,061051770,CT,Podiatry,141,0,0,0%
1851551972,BALLOUGH,ROBERT,064573654,CT,Physician Assistant,20,0,0,0%
1437596749,BALOESCU,CRISTIANA,065103220,CT,Student in an Organized Health Care Education/Training Program,18,0,0,0%
1467783290,BALOUCH,IMRAN,060663025,CT,Gastroenterology,397,0,0,0%
1487650222,BALSAMO,JOSEPH,065163774,CT,Internal Medicine,10980,9,419,3.82%
1740388859,BALTAZAR,ARTURO,060106351,CT,Internal Medicine,65,0,0,0%
1265599583,BALTER,ANDREW,065101804,CT,Psychiatry,120,0,0,0%
1194168476,BALTRUCKI,LAUREN,060513916,CT,Nurse Practitioner,102,0,0,0%
1639380256,BANACH,DAVID,065191369,CT,Infectious Disease,48,0,0,0%
1982760542,BANATOSKI,JILL,064982856,CT,Internal Medicine,3693,1,27,0.73%
1508147745,BAND,MOLLY,061063322,CT,Physician Assistant,13,0,0,0%
1881906790,BANDAGORLA,RAMESH,066064201,CT,Internal Medicine,89,0,0,0%
1114085461,BANDANZA,ROSINA,06457,CT,Psychiatry,2555,0,0,0%
1598085391,BANDARANAYAKE,THILINIE,068503815,CT,Student in an Organized Health Care Education/Training Program,181,0,0,0%
1619130705,BANDE,SHARYU,066064201,CT,Internal Medicine,600,1,16,2.67%
1346595139,BANDIKATLA,THEJASWI,060300001,CT,Student in an Organized Health Care Education/Training Program,330,0,0,0%
1336335108,BANDLA,GEETHANJALI,068503815,CT,Internal Medicine,364,0,0,0%
1861491839,BANDYOPADHYAY,TAPAS,060337207,CT,Pulmonary Disease,1097,1,11,1%
1053373431,BANERJEE,SAUMITRA,060023463,CT,Colorectal Surgery (formerly proctology),255,1,35,13.73%
1467523928,BANERJEE,SANJAY,06106,CT,Psychiatry,297,0,0,0%
1497043459,BANERJEE,ANJALI,060421679,CT,Dentist,67,1,11,16.42%
1629021183,BANERJEE,ARJUN,06033,CT,Family Practice,5157,2,86,1.67%
1992799498,BANEVER,THOMAS,061062528,CT,General Surgery,117,4,61,52.14%
1659354827,BANEVICIUS,MARIA,060403833,CT,Nurse Practitioner,44,0,0,0%
1083807531,BANGA,ALOK,060300001,CT,Psychiatry,544,0,0,0%
1528311339,BANGS,KATHERINE,062541807,CT,Physician Assistant,424,4,193,45.52%
1194975805,BANIBENSU,JONATHAN,065114405,CT,Internal Medicine,236,1,13,5.51%
1912218918,BANKI,ALI,060332135,CT,Dermatology,664,0,0,0%
1306041728,BANKOFF,JONATHAN,064573654,CT,Emergency Medicine,222,1,36,16.22%
1891850020,BANKS,GALE,06519,CT,Nurse Practitioner,19,0,0,0%
1083942353,BANKS,DENNIS,06880,CT,Psychiatry & Neurology,27,0,0,0%
1760454045,BANKWALLA,ARNAZ,061051208,CT,Family Practice,33,0,0,0%
1285898759,BANNIS,ROHAN,067061253,CT,Anesthesiology,433,1,21,4.85%
1811964034,BANNON,KATHLEEN,060663126,CT,Nurse Practitioner,34,0,0,0%
1346437233,BANSAL,SUDEEP,061051208,CT,Internal Medicine,28,0,0,0%
1225238280,BANSAL,RENU,060300001,CT,Internal Medicine,83,0,0,0%
1033177936,BANSAL,RAJ,066102811,CT,Psychiatry,763,0,0,0%
1750353538,BANTA,JOHN,061028000,CT,Orthopedic Surgery,30,0,0,0%
1043427925,BANWELL,LANCE,067983412,CT,Dentist,112,0,0,0%
1154674174,BANYAS,REBECCA,064771617,CT,Nurse Practitioner,1081,0,0,0%
1811285257,BANZON,JONA MARIE,066102805,CT,Student in an Organized Health Care Education/Training Program,505,1,16,3.17%
1346515624,BAPAT,ASHWINI,067082613,CT,Student in an Organized Health Care Education/Training Program,169,0,0,0%
1285811752,BAPTISTE,NADINE,065103220,CT,Psychiatry,398,0,0,0%
1093800369,BAR,MICHAEL,069023628,CT,Hematology/Oncology,140,0,0,0%
1215179106,BAR,NOFFAR,065103220,CT,Internal Medicine,93,0,0,0%
1689787210,BARAJAS,DENISE,064181336,CT,General Surgery,52,1,13,25%
1316225774,BARAL,SAURAV,068106099,CT,Student in an Organized Health Care Education/Training Program,165,0,0,0%
1124239728,BARAN,KEVIN,060621944,CT,Internal Medicine,5046,12,670,13.28%
1619029469,BARANELLO,RICHARD,068072506,CT,Dentist,16,0,0,0%
1689600108,BARANOWSKI,NANCY,067061113,CT,Nurse Practitioner,22,0,0,0%
1295762029,BARASCH,PHILIP,066155838,CT,Neurology,2021,2,31,1.53%
1669769550,BARASZ,JONAH,064372056,CT,Dentist,13,0,0,0%
1104837871,BARASZ,STEVEN,06443,CT,Dentist,16,0,0,0%
1518221878,BARATTA,KEVIN,060303955,CT,Student in an Organized Health Care Education/Training Program,12,0,0,0%
1861473688,BARATZ,RONALD,06360,CT,Dentist,42,0,0,0%
1699858886,BARBA,SUE,060371921,CT,Certified Clinical Nurse Specialist,2392,0,0,0%
1679581359,BARBA,CARLOS,060322483,CT,General Surgery,238,2,40,16.81%
1104829415,BARBADIMOS,ARGHIRIS,069022681,CT,Physical Medicine and Rehabilitation,183,5,109,59.56%
1124317888,BARBAROTTA,LISA,065103220,CT,Nurse Practitioner,469,1,11,2.35%
1275615957,BARBER,TRACY,064512101,CT,Emergency Medicine,108,1,22,20.37%
1861472326,BARBER,CHRISTOPHER,061051208,CT,Physician Assistant,281,2,74,26.33%
1215154117,BARBERIE,MICHAEL,068962322,CT,Psychiatry,3075,0,0,0%
1861655466,BARBU,ANTONELA,060843419,CT,Family Practice,2513,4,63,2.51%
1598010928,BARCELOS,MARTHA,060621534,CT,Nurse Practitioner,195,0,0,0%
1164470548,BARCEWICZ,PAUL,065102716,CT,General Surgery,83,1,12,14.46%
1699090902,BARCHINI,SADIE,067082613,CT,Internal Medicine,194,0,0,0%
1023094133,BARCHINI,GEORGE,067871825,CT,Internal Medicine,4342,4,105,2.42%
1427032200,BARCZAK,TIMOTHY,063204738,CT,Obstetrics/Gynecology,210,0,0,0%
1639316177,BARCZAK,RAFAL,064512121,CT,Colorectal Surgery (formerly proctology),86,1,13,15.12%
1255336616,BARD,MICHAEL,068104146,CT,Otolaryngology,377,0,0,0%
1477531218,BARD,ADAM,06825,CT,Internal Medicine,4220,0,0,0%
1568550770,BARDENHEIER,JOSEPH,06426,CT,General Surgery,31,0,0,0%
1548297633,BARENBERG,DAVID,068105950,CT,Gastroenterology,583,0,0,0%
1619062494,BARGELLINI,JOSEPH,067762915,CT,Radiation Oncology,175,1,11,6.29%
1467607283,BARGINEAR,MYRA,068806008,CT,Medical Oncology,181,0,0,0%
1790704450,BARIL,CLAUDETTE,067902958,CT,Certified Nurse Midwife,75,0,0,0%
1538329073,BARILE,AMY,065048900,CT,Nurse Practitioner,407,1,19,4.67%
1922329325,BARISIC-DUJMOVIC,TATJANA,060300001,CT,Psychiatry,460,0,0,0%
1144467788,BARKIL-OTEO,ANDRES,065191109,CT,Psychiatry,874,0,0,0%
1235136300,BARKSDALE,SUSAN,061065501,CT,Physician Assistant,366,5,155,42.35%
1730187634,BARLETTA,ANDREA,060300001,CT,Nurse Practitioner,5384,0,0,0%
1710193487,BARLOW,DEBORAH,068042426,CT,Physician Assistant,517,0,0,0%
1316949399,BARLOW,ANDREW,064701443,CT,Physician Assistant,1382,1,13,0.94%
1457475584,BARMACH,MICHAEL,064372719,CT,Family Practice,954,1,20,2.1%
1689949935,BARMETTLER,SARA,065103220,CT,Student in an Organized Health Care Education/Training Program,537,1,19,3.54%
1962664995,BARNABY,DINA,06032,CT,Student in an Organized Health Care Education/Training Program,22,0,0,0%
1851398846,BARNES,DIANE,061065501,CT,Physician Assistant,71,1,13,18.31%
1205812534,BARNES,PRISCILLA,064773037,CT,CRNA,16,0,0,0%
1124289293,BARNES,MELYNDA,06614,CT,Otolaryngology,18,0,0,0%
1861560542,BARNETT,THERESA,060306220,CT,Nurse Practitioner,799,1,17,2.13%
1881605764,BARNETT,DAVID,060672336,CT,Dentist,30,0,0,0%
1033116009,BARNETT,PETER,061065501,CT,Orthopedic Surgery,70,0,0,0%
1477515625,BARNICOAT,CHARLES,06011,CT,Physician Assistant,68,1,19,27.94%
1366441628,BARNOSKY,SANDRA,060300001,CT,Nurse Practitioner,27,0,0,0%
1215005483,BAROCAS,HAYLEY,069055602,CT,Dentist,11,0,0,0%
1972520914,BAROCHIA,SANJAY,061112633,CT,Internal Medicine,7920,6,247,3.12%
1649263294,BARON,JOHN,060823669,CT,Cardiology,7940,0,0,0%
1629060207,BARON,JEFFREY,068042647,CT,Dentist,64,0,0,0%
1841306933,BARON,BRUCE,06905,CT,Internal Medicine,840,1,15,1.79%
1073525887,BARON,MICHAEL,064604854,CT,Pediatric Medicine,11,0,0,0%
1033150081,BAROODY,MICHAEL,068106129,CT,Plastic and Reconstructive Surgery,61,0,0,0%
1710921861,BAROODY,SARAH,068105013,CT,Ophthalmology,625,0,0,0%
1851446843,BAROWSKY,JEREMY,068304608,CT,Psychiatry,905,0,0,0%
1891992897,BARR,MATTHEW,060302801,CT,Emergency Medicine,119,2,28,23.53%
1336188127,BARR,MATTHEW,068246017,CT,Physician Assistant,18,0,0,0%
1912928177,BARRAK,BECHARA,061051770,CT,Internal Medicine,15345,9,420,2.74%
1194168690,BARRETT,CASSANDRA,065103220,CT,Student in an Organized Health Care Education/Training Program,70,0,0,0%
1851475453,BARRETT,DAVID,068106099,CT,Emergency Medicine,148,1,19,12.84%
1467466284,BARRETT,SHARON,064132058,CT,Dermatology,657,0,0,0%
1245348796,BARRI,ANTHONY,06340,CT,Ophthalmology,1178,0,0,0%
1194841379,BARRO,JENNIFER,068306086,CT,Gastroenterology,260,0,0,0%
1346260015,BARRON,JILL,068804614,CT,Psychiatry & Neurology,14,0,0,0%
1871730200,BARRON,ELIOT,061073146,CT,Psychiatry & Neurology,19,0,0,0%
1578791430,BARROW,NATASHA,060300001,CT,Student in an Organized Health Care Education/Training Program,126,1,16,12.7%
1013213552,BARROWS,CHRISTINA,064573648,CT,Nurse Practitioner,217,0,0,0%
1447238704,BARROWS,GEORGE,061051208,CT,Specialist,34,0,0,0%
1598739328,BARRY,CHRISTINE,067061253,CT,Nurse Practitioner,890,3,83,9.33%
1720085558,BARRY,MARY BETH,060300001,CT,Nurse Practitioner,930,0,0,0%
1912056649,BARRY,ANDREA,068104143,CT,Obstetrics/Gynecology,198,0,0,0%
1407839632,BARRY,MICHELE,065191304,CT,Internal Medicine,31,0,0,0%
1285695841,BARRY,MARY,062261232,CT,Internal Medicine,4396,3,131,2.98%
1013987098,BARSE,RICHARD,06511,CT,Internal Medicine,32,0,0,0%
1194816348,"BARTEL R. CRISAFI, MD",,068072717,CT,Internal Medicine,23,0,0,0%
1336230630,BARTELS,ANDREA,063204730,CT,Nurse Practitioner,1614,4,63,3.9%
1508872219,BARTFELD,EPHRAIM,067952260,CT,Pediatric Medicine,31,0,0,0%
1831200187,BARTH,GEORGE,067763427,CT,Family Practice,4373,5,134,3.06%
1154314144,BARTLES,THADDEUS,060103901,CT,Optometry,173,0,0,0%
1316914203,BARTLETT,MARY,06513,CT,Certified Clinical Nurse Specialist,2394,6,251,10.48%
1821223272,BARTLEY,TREMANE,065114549,CT,Dentist,19,0,0,0%
1871727594,BARTLEY,KAREN,065164405,CT,Dentist,18,0,0,0%
1417021577,BARTOLONE,CYNTHIA,068253239,CT,Dentist,26,0,0,0%
1871592600,BARTON,JEROME,068514647,CT,Orthopedic Surgery,124,1,13,10.48%
1831442326,BARTOSIK,KAROLINA,061028000,CT,Physician Assistant,125,1,25,20%
1437143617,BARTUS,CHRISTINE,060521743,CT,Colorectal Surgery (formerly proctology),176,1,13,7.39%
1588610307,BARUZZI,KEVIN,064573654,CT,Emergency Medicine,200,1,40,20%
1982600300,BARWICK,MORVEN,060300001,CT,Psychiatry & Neurology,30,0,0,0%
1811021835,BARWICK,PETER,060352911,CT,Internal Medicine,72,0,0,0%
1932210127,BASCETTA,SEBASTIAN,061112913,CT,Dentist,102,0,0,0%
1497868053,BASH,JEFFREY,064574777,CT,Orthopedic Surgery,172,3,42,24.42%
1336408020,BASHIR,SAEED,068503815,CT,Student in an Organized Health Care Education/Training Program,105,0,0,0%
1063574762,BASHTI,FARID,060331029,CT,Dentist,19,0,0,0%
1194771758,BASHURA,HOLLY,066061830,CT,Nurse Practitioner,11,0,0,0%
1588761175,BASIL,ELZBIETA,061071941,CT,Dentist,21,0,0,0%
1326149238,BASON,MARGARET,06089,CT,Dermatology,13,0,0,0%
1497756902,BASS,MICHAEL,067021418,CT,Dentist,106,2,50,47.17%
1497722300,BASS,DAVID,061065501,CT,Plastic and Reconstructive Surgery,72,1,15,20.83%
1780824581,BASSIN,LEAH,069023628,CT,General Surgery,16,0,0,0%
1063633188,BAST,BRIAN,068514647,CT,Physical Medicine and Rehabilitation,1134,9,512,45.15%
1265421325,BASTA,ANDREW,069023932,CT,Dentist,34,0,0,0%
1669483533,BASTIAANSE,KAYLEEN,067906669,CT,Nurse Practitioner,26,0,0,0%
1114985330,BASU,ADRIAN,064843347,CT,Dentist,29,0,0,0%
1417952607,BASU,SUBRATA,061083405,CT,Internal Medicine,4456,2,50,1.12%
1861683039,BASU,SUDESHNA,061063310,CT,Neuropsychiatry,12,0,0,0%
1235142555,BATCHELDER,BARBARA,06070,CT,Dentist,46,0,0,0%
1962557470,BATES,KATHERINE,062262045,CT,Physician Assistant,155,2,39,25.16%
1699901041,BATH,ROOPJEET,060301845,CT,Internal Medicine,194,0,0,0%
1922103365,BATIANCILA,THELMA,064602686,CT,Internal Medicine,3844,0,0,0%
1356588073,BATOULI,PHOUNG,06040,CT,Physician Assistant,806,0,0,0%
1205824257,BATSFORD,WILLIAM,065191304,CT,Internal Medicine,75,0,0,0%
1275574238,BATSON,RAMON,068515721,CT,Neurosurgery,141,1,11,7.8%
1619069754,BATTER,STEPHEN,068503937,CT,Urology,1722,2,57,3.31%
1164494670,BATTI,JAMES,068104146,CT,Otolaryngology,18,0,0,0%
1396844882,BATTISTA,JOHN,067764920,CT,Psychiatry,474,0,0,0%
1407186901,BAUER,PHILIP,06902,CT,Dentist,20,0,0,0%
1649214727,BAUER,JAMES,067982966,CT,Dentist,148,0,0,0%
1477610913,BAUER,STEPHEN,066115343,CT,Vascular Surgery,125,0,0,0%
1811955396,BAUM,MICHAEL,062601871,CT,General Surgery,94,1,22,23.4%
1437175486,BAUM,DAVID,06880,CT,Internal Medicine,5069,7,147,2.9%
1366591778,BAUMAN,JOEL,061065501,CT,Neurosurgery,48,1,15,31.25%
1538143532,BAUMGAERTNER,MICHAEL,065191369,CT,Orthopedic Surgery,47,1,24,51.06%
1881896157,BAUMGART,MEGAN,065103220,CT,Student in an Organized Health Care Education/Training Program,52,0,0,0%
1518239581,BAUMGARTNER,JACQUELINE,063603442,CT,Physician Assistant,282,0,0,0%
1083796635,BAUTISTA,LEYNA,069026805,CT,Family Practice,783,0,0,0%
1932236080,BAWEJA,MANPREET,06050,CT,Emergency Medicine,71,0,0,0%
1447561972,BAXI,FAIRY,065164405,CT,Dentist,19,0,0,0%
1770512915,BAXT,BRIAN,066102805,CT,Emergency Medicine,171,1,25,14.62%
1780654897,BAXTER,CLAUDIA,067762444,CT,Obstetrics/Gynecology,285,0,0,0%
1760413538,BAYAN,NAMI,064846416,CT,Internal Medicine,385,0,0,0%
1073548467,BAYER,ROBERT,065114405,CT,Emergency Medicine,118,1,19,16.1%
1427350586,BAYER,KATRINA,066064201,CT,Physician Assistant,48,1,13,27.08%
1356589519,BAYER,LAURIE,060423001,CT,Pediatric Medicine,30,0,0,0%
1063496776,BAYLIS,LYNN,067082613,CT,Physician Assistant,114,2,23,20.18%
1780695692,BAYONA,GERALD,060843970,CT,Internal Medicine,5177,5,203,3.92%
1447695457,BAZAN,ISABEL,067082613,CT,Student in an Organized Health Care Education/Training Program,56,0,0,0%
1427045954,BAZAZ-KAPOOR,RENU,065183691,CT,Osteopathic Manipulative Medicine,3716,4,128,3.44%
1548350044,BAZILE,ANCA,068246537,CT,Dentist,33,0,0,0%
1568551927,BAZOS,ANDREW,067763485,CT,Orthopedic Surgery,88,1,11,12.5%
1316950918,BAZURO,ROBERT,068106099,CT,Emergency Medicine,121,0,0,0%
1780914374,BEAL,KEMMARIE,060321909,CT,Nurse Practitioner,116,1,34,29.31%
1992959076,BEALS,CLAUDIA,068516167,CT,Emergency Medicine,108,1,14,12.96%
1356355754,BEAN,KENNETH,060106352,CT,Psychiatry,580,0,0,0%
1518940360,BEASON,WILLIAM,063331735,CT,Family Practice,2857,7,232,8.12%
1689798068,BEASON-BROWN,SOPHIA,06089,CT,Dentist,33,0,0,0%
1124368998,BEATRICE,MARIANNE,065152725,CT,Obstetrics/Gynecology,17,0,0,0%
1407085699,BEAUBOEUF,ANNE-LISE,066052602,CT,Internal Medicine,735,1,18,2.45%
1528126117,BEAULIEU,MARY,063852839,CT,Optometry,90,0,0,0%
1467448878,BEAULIEU,KIMBERLY,061121264,CT,Physician Assistant,349,0,0,0%
1588608384,BEAULIEU,BRIAN,060522016,CT,Internal Medicine,346,0,0,0%
1942291653,BEAUSOLEIL,SHANNON,061172515,CT,Internal Medicine,1300,0,0,0%
1487731998,BEAUVAIS,PAUL,06708,CT,Orthopedic Surgery,405,4,187,46.17%
1386771921,BEAZLEY,JANICE,061032928,CT,Physician Assistant,25,0,0,0%
1962699389,BEBB,LESLIE,061065501,CT,Physician Assistant,96,1,12,12.5%
1154323426,BECHERL,ROHINI,061025037,CT,Geriatric Medicine,5214,4,88,1.69%
1992731889,BECK,LAWERENCE,066155838,CT,Neurology,1229,0,0,0%
1306966064,BECK,DAVID,060301903,CT,Physician Assistant,99,0,0,0%
1174521397,BECK,STEVEN,060532266,CT,Physical Medicine and Rehabilitation,2512,15,1724,68.63%
1164550661,BECK,DAVID,068803305,CT,Internal Medicine,568,0,0,0%
1245235449,BECK,EDWARD,06810,CT,Urology,1545,2,31,2.01%
1578631982,BECK,JONATHAN,06776,CT,Family Practice,8385,6,262,3.12%
1306993647,BECKER,WILLIAM,060514224,CT,Optometry,103,0,0,0%
1144310061,BECKER,DAVID,064773559,CT,Dentist,39,0,0,0%
1013914332,BECKER,GERALD,061065501,CT,Orthopedic Surgery,1106,5,297,26.85%
1821231895,BECKER,KEVIN,06510,CT,Neurology,21,0,0,0%
1659570182,BECKER,MARGARET,065116815,CT,Nurse Practitioner,275,0,0,0%
1528183845,BECKER,STEPHEN,060334189,CT,Psychologist (billing independently),35,0,0,0%
1780666800,BECKMAN,CHARLES,065191600,CT,General Surgery,176,2,25,14.2%
1083687057,BEDARD,JEANNE,062601871,CT,Nurse Practitioner,146,0,0,0%
1003897851,BEDARD,ROBERT,061191505,CT,Allergy/Immunology,849,0,0,0%
1457685653,BEDARIDA,GABRIELLA,065115473,CT,Internal Medicine,17,0,0,0%
1548209125,BEDFORD,ANDREW,066144980,CT,Gastroenterology,662,0,0,0%
1184696890,BEEBE,ALICIA,061142540,CT,Nurse Practitioner,336,3,55,16.37%
1588621221,BEEBE,ROY,06001,CT,Orthopedic Surgery,578,5,298,51.56%
1821079195,BEECH,ROBERT,065191109,CT,Psychiatry,46,0,0,0%
1396949582,BEECHER,HENRY,069022594,CT,Gastroenterology,655,0,0,0%
1598098667,BEESON,CATHERINE,06840,CT,Dentist,15,0,0,0%
1356786859,BEG,ASMA,068106099,CT,Internal Medicine,28,0,0,0%
1992801989,BEGER,ERIK,068511080,CT,Rheumatology,1517,8,259,17.07%
1710991393,BEGG,WILLIAM,068106099,CT,Emergency Medicine,102,2,38,37.25%
1235140104,BEGGINS,THOMAS,064574711,CT,Ophthalmology,2684,0,0,0%
1982644308,BEGLEY,ELAINE,06437,CT,Physician Assistant,57,0,0,0%
1720092190,BEGUM,FARZANA,06518,CT,Psychiatry,632,0,0,0%
1114981701,BEHJET,NADEEM,060105809,CT,Internal Medicine,10263,4,387,3.77%
1336185768,BEHRENDS,ROBERT,067082460,CT,Psychiatry,2650,1,11,0.42%
1770570921,BEINER,JOHN,065183209,CT,Orthopedic Surgery,239,6,125,52.3%
1164729091,BEJARANO,JOSE,065191233,CT,Psychiatry & Neurology,1223,0,0,0%
1851540108,BEKDACHE,KHALDOUN,068106099,CT,Student in an Organized Health Care Education/Training Program,25,1,12,48%
1912945932,BEKUI,ELIZABETH,065114405,CT,Internal Medicine,299,0,0,0%
1831532266,BELACHEW,WOSSEN,069023628,CT,Student in an Organized Health Care Education/Training Program,27,0,0,0%
1780842435,BELCHER,JULIE,063602214,CT,Obstetrics/Gynecology,150,0,0,0%
1083889695,BELFORT DE AGUIAR,RENATA,065191304,CT,Endocrinology,23,0,0,0%
1841265048,BELIN,DANIEL,064573647,CT,Rheumatology,2273,5,101,4.44%
1386812832,BELITSKY,RICHARD,06511,CT,Psychiatry & Neurology,12,0,0,0%
1922176338,BELKIN,BARTON,068253552,CT,Internal Medicine,2704,3,50,1.85%
1235169863,BELKIN,STUART,064682276,CT,Orthopedic Surgery,526,3,101,19.2%
1952313660,BELL,DAVID,06111,CT,Dentist,59,0,0,0%
1982640207,BELL,ROBERT,065116815,CT,General Surgery,147,1,16,10.88%
1003894783,BELL,DONALD,068901316,CT,Psychiatry,156,0,0,0%
1063728285,BELL,JEREMY,066042413,CT,Dentist,29,0,0,0%
1073552774,BELL,GREGORY,064893268,CT,Emergency Medicine,255,2,51,20%
1417186800,BELL,BRIAN,061113204,CT,Dentist,14,0,0,0%
1770589665,BELL,JONATHAN,068104146,CT,Allergy/Immunology,152,0,0,0%
1659320711,BELL,TODD,060023062,CT,Podiatry,459,1,17,3.7%
1588823165,BELLAPIANTA,JOSEPH,068072152,CT,Orthopedic Surgery,310,3,67,21.61%
1962772939,BELLAVANCE,KIMBERLY,061051208,CT,Physician Assistant,53,0,0,0%
1316255250,BELLAVIA,DIEGO,065114405,CT,Student in an Organized Health Care Education/Training Program,136,0,0,0%
1154426047,BELLER,PETER,061025037,CT,Obstetrics/Gynecology,102,0,0,0%
1730386517,BELLIGUND,POOJA,063602160,CT,Pulmonary Disease,912,0,0,0%
1316145097,BELLIN,EVAN,068403812,CT,Psychiatry & Neurology,73,0,0,0%
1780021253,BELLINGER,PAIGE,060673576,CT,Nurse Practitioner,12,0,0,0%
1225140650,BELLINO,JENNIFER,06360,CT,Internal Medicine,27,0,0,0%
1316906456,BELLOFIORE,PAUL,067083346,CT,Internal Medicine,5101,9,473,9.27%
1295749505,BELLUMKONDA,LAVANYA,064846266,CT,Cardiology,612,0,0,0%
1407828668,BELMAN,DAVID,060522016,CT,Orthopaedic Surgery,230,2,58,25.22%
1770558181,BELMONT,ARTHUR,060404131,CT,Emergency Medicine,157,1,15,9.55%
1164425070,BELNIAK,ROBERT,060521390,CT,Orthopedic Surgery,276,3,140,50.72%
1346261880,BELSKY,JOSEPH,068105013,CT,Endocrinology,272,0,0,0%
1548284474,BELSKY,MARK,061121260,CT,Family Practice,11017,7,414,3.76%
1699707422,BELT,GARY,060023088,CT,Neurology,4177,8,293,7.01%
1952416299,BEMIS,CLAUDIA,06508,CT,Psychiatry,607,0,0,0%
1699719724,BENADERET,STEVEN,069055466,CT,Family Practice,1327,1,16,1.21%
1699783753,BENAK,ARNOLD,063331711,CT,Dentist,109,1,11,10.09%
1528038643,BENAVIDES,CARLOS,060421771,CT,Otolaryngology,681,0,0,0%
1093016248,BENAVIDES-BARON,CAROLINA,065103220,CT,Physician Assistant,87,0,0,0%
1730106519,BENAVIV-MESKIN,DANIELLE,066114816,CT,Endocrinology,3386,0,0,0%
1205844677,BENBRAHIM,AZIZ,064512121,CT,General Surgery,125,2,43,34.4%
1215029368,BENCIVENGO,CHARLES,060106254,CT,Dentist,32,0,0,0%
